username,time,text,tags,latitude,longitude,location
@Mustaqbalweblb,11h,18 حالة إيجابية جديدة بفيروس كورونا في زغرتا,[],33.894204,35.485805,Beirut
@MinistryInfoLB,11h,- تقرير مستشفى نبيه بري في النبطية حول مستجدات كورونا,[],33.894204,35.485805,Beirut
@AlMayadeenNews,11h,البنك الدولي يرصد 12 مليار دولار لتمويل شراء وتوزيع لقاحات وفحوصات وعلاجات #كورونا لمواطني الدول النامية.,['#كورونا'],33.894204,35.485805,Beirut
@AlakhbarNews,11h,"رحيل دندش | آخر أخبار «#كورونا»: الإصابة تُدارى كما لو أنها فضيحة وإهانة وتعرّض صاحبها للنبذ حتى بعد شفاءه!
@Ra7ilT",['#كورونا'],33.894204,35.485805,Beirut
@AnbaaOnline,13h,"ترامب: تعافيت من كورونا والأطباء وصفوني بـ ""سوبرمان""",[],33.894204,35.485805,Beirut
@lebanondebate,13h,الصين تسجل 20 إصابة جديدة بفيروس كورونا مقارنة مع 13 قبل يوم #ليبانون_ديبايت,['#ليبانون_ديبايت'],33.894204,35.485805,Beirut
@kataeb_Ar,13h,الصين تسجل 20 إصابة جديدة بفيروس كورونا مقارنة مع 13 قبل يوم,[],33.894204,35.485805,Beirut
@Mustaqbalweblb,13h,ترامب: الصحة العالمية أعترفت بأنه لا يمكن أن يكون الدواء أسوأ من داء كورونا,[],33.894204,35.485805,Beirut
@Lebanon24,14h,"أرقام مُقلقة: المتبقّي في العناية الفائقة 10 أسرّة فقط؟ 
#كورونا 
#لبنان 
#lebanon24","['#lebanon24', '#كورونا', '#لبنان']",33.894204,35.485805,Beirut
@lebanondebate,14h,إصابات كورونا تتجاوز 38 مليونا حول العالم #ليبانون_ديبايت,['#ليبانون_ديبايت'],33.894204,35.485805,Beirut
@kataeb_Ar,14h,"ترامب: تعافيت من كورونا والأطباء وصفوني بـ ""سوبرمان""",[],33.894204,35.485805,Beirut
@bdentonphoto,15h,"I’ve been trying to get myself set up with ballistic PPE out of an abundance of caution for election coverage. I don’t know if there are supply chain issues due2 Covid, but EVERYTHING is backordered for months. 
. AND lots of sketchy new co’s flooding the market with garbage.",[],33.894204,35.485805,Beirut
@Lebanon24,17h,"ترمب: تعافيت من كورونا والأطباء وصفوني بـ ""سوبرمان""
#lebanon24",['#lebanon24'],33.894204,35.485805,Beirut
@kataeb_Ar,17h,#ترامب: الصحة العالمية أعترفت بأنه لا يمكن أن يكون الدواء أسوأ من داء #كورونا,"['#ترامب', '#كورونا']",33.894204,35.485805,Beirut
@Lebanon24,18h,"البنك الدولي يوافق على 12 مليار دولار مساعدة للقاحات ضد كورونا
#lebanon24",['#lebanon24'],33.894204,35.485805,Beirut
@kataeb_Ar,18h,البنك الدولي يوافق على 12 مليار دولار مساعدة للقاحات ضد #كورونا,['#كورونا'],33.894204,35.485805,Beirut
@m_h_f_,19h,Covid 20,[],33.894204,35.485805,Beirut
@josephmonzer,19h,"Replying to 
@FaresSouaid",[],33.894204,35.485805,Beirut
@AliBuumaye,20h,Vrijdag heb ik mn eerste mma training kneukkkkk als corona da verpest,[],33.894204,35.485805,Beirut
@kataeb_Ar,20h,"وزيرة الصحة المصرية: إدارة أزمة #كورونا في مصر ""الأمثل بين دول إقليم شرق المتوسط""",['#كورونا'],33.894204,35.485805,Beirut
@lebanondebate,21h,"بالأرقام... كيف توزّعت إصابات ""كورونا"" على المناطق؟ 
http://lebanondebate.com/news/502728
@mophleb
 @Hamad_hassan20
 @grandserail",[],33.894204,35.485805,Beirut
@WalidAlOmary,21h," قصة وعبرة 

وقع ذباب على وجه المنصور الدوانيقي ""وكان من خلفاء بني العباسيين المجبّرين""، فذبه فعاد حتى أضجره، وكان عنده الإمام جعفر بن محمد (ع)، فقال المنصور: يا أبا عبد الله لم خلق الله الذباب؟ قال: ليذل به الجبابرة، فسكت المنصور 
#كورونا",['#كورونا'],33.894204,35.485805,Beirut
@Mustaqbalweblb,21h,"كيف توزعت إصابات ""كورونا"" مناطقيًا؟",[],33.894204,35.485805,Beirut
@jeanmurad,21h,"Replying to 
@DimaSadek",[],33.894204,35.485805,Beirut
@HermanvanUum,21h,"Replying to 
@ONC3X
 and 
@KyleJGlen",[],33.894204,35.485805,Beirut
