username,time,text,tags,locations
Rimane Daou,Aug 19,"قبل بدء #lockdown لمدة ٢٠ يوم تقريبا، وجهة معظم اللبنانيين باتجاه الجبال 
#بعبدات #Corona
#Covid_19 #coronavirus #كورونا","['#Corona', '#lockdown', '#كورونا', '#Covid_19', '#coronavirus', '#بعبدات']",
Dr.iman chweikh,Aug 19,"ماهي العلاقة بين الارتفاع الجنوني لعدّاد #كورونا وانفجار #مرفأ_بيروت ،تابعوا التفاصيل خلال نشرات الأخبار #Covid_19 #Corona 
4pm,7pm,10:30pm
http://nbntv.me","['#مرفأ_بيروت', '#Corona', '#Covid_19', '#كورونا']",
〒,Aug 19,my pcr results are negative but honestly RHUH is so unorganized and if you walk in without corona there is a high chance you can get it there,[],
Nadim Kanaan,Aug 19,"Replying to 
@ihategabouz",[],
marc kafrouny,Aug 18,"#Corona
@ALJADEEDNEWS",['#Corona'],
~Rabih,Aug 18,I regret not going at least once to tomorrowland before corona happened ,[],
RANIA GHARIOS,Aug 18,I’m looking for a foreign (Ethiopia)housekeeper full time no vacation due to Corona virus that loves old people and is comfortable with them and that doesn’t mind her salary being transferred directly to her country. or lebanese women who accept this conditions(paid b lebnéné)Thx,[],
Joseph Bahout باحوط,Aug 18,"In the hours to come, in #Lebanese newspapers:

“Mr. & Ms. Ayash are very sad to announce the passing away of their son, Salim, after he was badly contaminated by Corona.
Due to ongoing lockdown, condolences will be received virtually only.”

#STL #HaririTrial","['#HaririTrial', '#Lebanese', '#STL']",
Elie Abi Najem,Aug 18,"Replying to 
@MarleneHayek",[],
Lily,Aug 17,"Since the corona cases are increasing, why don’t we all go to Michel Aoun’s house so he can heal us 
 #michelaounmonpresident #stmichelaoun #tahher_temmak_abel_ma_tehke_aanno","['#stmichelaoun', '#tahher_temmak_abel_ma_tehke_aanno', '#michelaounmonpresident']",
Gbelaur,Aug 17,"Replying to 
@Okkknvm",[],
〒,Aug 17,"Replying to 
@reezzamm",[],
Mount The Gallows For Ralph and JoeⓋ,Aug 17,456 corona cases!!?????,[],
farahhijazi,Aug 17,Today 500+ corona,[],
غنى,Aug 17,LU fanar literally melyene tlemiz w 3alam kif ma badon yektaro corona?,[],
KARAM PETER,Aug 17,"Replying to 
@KarimChamseddin",[],
Ginan,Aug 17,"On my daily Social Media morning routine, I just saw a video of Indian nuns singing “Go away Corona. Jesus the savior will destroy ya.“ And I think now I have seen it all.",[],
mayinoctober,Aug 16,Mnontor la ybattel fe corona,[],
ستوفي,Aug 16,"439 halet corona w 6 wafeyet 
#akalna_kanader",['#akalna_kanader'],
charbel saade,Aug 16,"439 corona 
 bas hek 
 tjawwazo w dahro w sharo w khtobo ",[],
Reem,Aug 16,How many corona cases for today?,[],
Mount The Gallows For Ralph and JoeⓋ,Aug 16,Tripoli is becoming scary with all the corona cases jesus,[],
heather jaber,Aug 16,"""We didn't feel safe on the streets and then the revolution gave them back to us - we conquered the corner, then the square. Then corona showed us that safety is only inside our house, and then this broke everything: our home isn't even safe any more.""",[],
