section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-location,section-result-info 2
Massimo Dutti,4.1,(49),Clothing store,Closed,,Opens at 10:00 AM
Colibri Hotel & Restaurant,4.1,(228),Hotel,Open until 1:00 AM,Broumana,Closed today
Rami Kadi Maison de Couture,4.8,(6),Fashion designer,Closed today,Beirut,Opens at 9:00 AM
Lancaster Tamar Hotel,4.0,(629),4-star hotel,Closing soon: 11:00 PM,Boulevard General Emile Lahoud - Beirut beirut,Closed today
Fleurs De La Sagesse,4.3,(75),Florist,Closed,Jdeideh,Opens at 8:00 AM
Salon Michel Layoun,4.4,(26),Hairdresser,Closed today,,Opens at 9:00 AM
CMA - Charbel & Marc Adaimy Studio,4.0,(8),Photography studio,Closed today,,Opens at 8:00 AM
Skamlati,4.5,(43),Furniture rental service,,Unnamed Road,Closed today
Ma.Sa.Ha,5.0,(4),Florist,Closed today,Mansourieh,Opens at 9:00 AM
Le43 Catering,5.0,(7),Catering food and drink supplier,Closed today,,Closing soon: 11:30 PM
Studio Ramy Al Saghir,4.7,(11),Photographer,Closed today,Mansourieh,Open until 4:30 AM
FlowerZone Boutique,4.9,(13),Florist,Closed,Chalet Swiss Street,Opens at 9:00 AM
Chirak Printing & Publishing,4.8,(5),Print shop,Closed today,Bourj Hammoud,Opens at 8:30 AM
Cherry Blossom Boutique Hotel,4.3,(283),4-star hotel,Opens at 8:00 AM,Bḩamdūn,Closed today
Minotti Uomo,4.5,(2),Clothing store,Closed today,,Opens at 9:00 AM
Canali Boutique - Foch Street,3.7,(3),Men's clothing store,Closed,Beirut,Opens at 10:00 AM
Nadia Travel Hazmieh,4.2,(525),Corporate office,Closed today,Mar Elias,Opens at 10:05 AM
Tag heuer,4.5,(2),Watch store,,,Closed today
TAG HEUER BOUTIQUE BEIRUT SOUKS,4.1,(22),Watch store,,Beirut,Closed today
Janna Sur Mer Beach Resort & Hotel,4.1,"(1,043)",Beach pavillion,,Damour Sea Road Damour,Closed today
CHANEL ABC,1.0,(3),Clothing store,Closed,Beirut,Opens at 10:00 AM
