section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-location,section-result-info 2,section-result-info 3,section-result-description
Phonefinity,4.4,(50),Cell phone store,Closed today,,Opens at 12:30 PM,70 686 406,High-end designer fashion & accessories
ELIE SAAB,4.4,(49),Women's clothing store,Closed today,Elie Saab Building Central District 2021 4516,Opens at 10:00 AM,01 981 982,
Florsheim,4.8,(6),Clothing store,Closed today,,Opens at 7:00 AM,01 332 082,Iconic Seattle-based coffeehouse chain
Stop & Shop,4.3,(138),Market,Closed,,Opens at 9:00 AM,79 137 678,Supermarket for groceries & more
Royal Art,3.7,(33),Art supply store,Closed today,,Opens at 10:00 AM,70 839 188,
st dimitrios souvenir shop,4.5,(17),Church supply store,Closed today,,Opens at 10:00 AM,81 820 902,"On-trend casualwear, shoes & accessories"
Electro Dandan Shop,3.0,(1),Electronics store,Closed today,Al,Opens at 9:00 AM,01 367 166,
Abu Rabih Butcher Shop,4.8,(4),Butcher shop,Closed,,Opens at 6:30 AM,01 744 776,Luxury brand for handbags & more
Mr Makki,4.0,(1),Cell phone store,03 688 543,,Opens at 9:00 AM,Closed today,British luxury apparel & accessories
Camper,3.3,(3),Shoe store,Closed,"Hazmieh, old damascus road or Camille Chamoun boulevard",Opens at 10:00 AM,03 287 187,Contemporary footwear for adults & kids
Dior,3.9,(8),Clothing store,Closed,downtown,Opens at 10:00 AM,01 991 111,Designer fashion for men & women
JouéClub Beirut Souks,4.6,(21),Toy store,Closed,Beirut Souks,Opens at 10:00 AM,01 972 908,"Shower gels, creams, soaps & more"
STYLORD Boutique,5.0,(1),Women's clothing store,Closed today,Pierre Gemayel Street Justice Palace Intersection Near St. Sarkis & Bakhos Church Jdeideh,Closing soon: 11:00 PM,70 796 999,U.K.-born retailer for apparel & shoes
Al Kansa Carpets,4.5,(42),Carpet store,01 575 585,,Closing soon: 11:00 PM,Closed today,
Sunglass Hut,3.8,(4),Sunglasses store,Closed,Beirut,Opens at 10:00 AM,01 960 179,Source for trendy brand-name sunglasses
مؤسسة انسان Store,4.5,(2),Produce market,Closed today,,Open until 5:45 AM,71 971 875,
Sports 4 Ever,4.0,(118),Sportswear store,Closed,,Opens at 9:00 AM,04 540 840,
Golden CD shop,5.0,(4),CD store,Closed today,,Opens at 1:00 PM,01 701 599,Designer apparel & fragrance retailer
