section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text
Lebanese University - Forn L Chebbak,4.0,(4),Public university,,Closed today,01 857 285,,,
USAL - University Of Sciences And Arts In Lebanon,4.8,(12),University,Ghobeiry,Closed today,01 453 003,http://www.usal.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Education,4.6,(9),University,,,01 292 981,https://www.ul.edu.lb/faculte/branches.aspx?facultyId=7&lang=1,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Faculty of Business Administration,4.8,(4),University,,Closed,03 751 232,,,
"University of Balamand, Faculty of Health Sciences. Achrafieh",4.0,(3),School,,Closed today,01 562 108,http://balamand.edu.lb/home/Pages/default.aspx,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Faculty Of Agriculture,3.7,(9),College of agriculture,George Matta,,01 484 130,http://www.ul.edu.lb/faculte/branches.aspx?facultyId=13,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Université Saint-Joseph de Beyrouth- Campus des sciences humaines,4.7,(3),University,,Closed today,01 421 000,http://www.usj.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
American University of Culture and Education,4.0,(2),University,,Closed today,03 959 543,http://www.auce.edu.lb/contact-us,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Université Saint-Joseph, Campus des Sciences Sociales",4.1,(18),University,Beirut,Closed today,01 421 000,https://css.usj.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Imam El Ouzaii Business Sch. - University,4.1,(7),University,,Closed today,01 786 456,,,
Lu - Education - Baouchriye - University,3.4,(5),University,,Closed today,03 327 807,,,
Lu - Roumie - University,3.0,(4),University,,Closed today,04 872 208,http://ulfg.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Islamic University of Lebanon,4.3,(41),University,,Closed today,05 807 711,http://www.iul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
LU University Faculty Of Science 4th Branch,3.7,(6),University,,Closed today,08 812 553,https://www.ul.edu.lb/faculte/branch.aspx?branchId=20,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
AUCE (American University of Culture & Education),4.0,(20),Private university,Lebanon-beirut 14/,Closed today,03 959 543,http://www.auce.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
