section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,Unnamed: 7
Jaï Asian restaurant,4.6,(476),Thai,,Closing soon: 11:00 PM,Closed,
Yummy - Restaurant,2.0,(1),Restaurant,,Open until 12:00 AM,Closed,
Al Yater Sea Food Restaurant,4.0,(21),Restaurant,,Open until 12:00 AM,Temporarily closed,
BeBabel Restaurant,4.5,(398),Restaurant,Minet El Hosn,Open until 12:00 AM,Closed,
Central - Restaurant,4.3,(3),Restaurant,,Open until 1:00 AM,,
Captan's - Restaurant,4.2,(128),Restaurant,,Open until 12:00 AM,,
Shayba - Restaurant,2.5,(2),Restaurant,,Open until 1:30 AM,Temporarily closed,
O Salèe Seafood restaurant &Coffee,4.1,(69),Restaurant,Sea Side Rd,Open until 1:00 AM,Closed,
Meat the Fish,4.3,(287),Restaurant,Saifi Village,Closing soon: 11:00 PM,Closed today,
Alfredo - Restaurant,3.5,(2),Restaurant,,Open until 11:30 PM,,
ASH by Eddy Diab,4.5,(132),Restaurant,,Open until 12:30 AM,Closed,
Manouchi - Restaurant,3.8,(10),Restaurant,,Opens at 11:00 PM,Closed,
Gulf Beach - Restaurant Seafood,3.7,(10),Restaurant,Sea Side Rd,Open until 1:00 AM,,
T-Marbouta,4.5,"(1,980)",Lebanese,"HAMRA SQUARE, GROUND FLOOR",Open until 1:00 AM,Closed,
Couqley French Bistro _ Gemmayze,4.5,(709),French,Gouraud,Closing soon: 11:00 PM,,
L'Autre Bistro,4.6,(152),French steakhouse restaurant,"Makhoul Street Secteur 34, Rue 77 El",Closing soon: 11:00 PM,Closed,
Gilgamish - Restaurant,4.1,(614),Restaurant,,Closing soon: 11:00 PM,Closed,
Salon Beyrouth,4.5,(477),Restaurant,,Open until 2:00 AM,Temporarily closed,
SUD Restobar,4.4,(506),Restaurant,"Armenia Street, Facing Manar Gas Station",Open until 2:00 AM,Closed,
Beit Halab Restaurant,4.4,(620),Syrian,,Open until 1:00 AM,Closed,
Bartartine- Mar Mkhayel,4.4,(377),Restaurant,Armenia,Closing soon: 11:00 PM,Closed,
The Grill,4.4,(135),Steak,1418 Professor Wafic Sinno Avenue Beirut,Open until 12:00 AM,Closed,
Appetito Trattoria Hamra,4.4,(366),Italian,,Open until 12:00 AM,Temporarily closed,
Café Em Nazih,4.4,"(2,722)",Lebanese,Pasteur st. (behind Coral station، Gouraud,Open until 4:00 AM,Closed,
DIVVY,4.5,(631),Restaurant,,Open until 1:00 AM,Temporarily closed,
"FLORIDA, PLAGE & RESTAURANT",4.3,(7),Restaurant,,Open until 12:00 AM,,
The Bros,4.6,(730),Restaurant,Madrid,Open until 2:00 AM,Temporarily closed,
Min Tourasna - Restaurant,3.9,(10),Restaurant,,Open until 1:00 AM,Closed,
Toni - Restaurant,4.7,(3),Restaurant,,Closing soon: 11:00 PM,Closed today,
Jalsat,4.2,(106),Lebanese,,Open until 11:30 PM,,
Tony Naas Restaurant,4.3,(56),Restaurant,,Open until 12:00 AM,Closed,
Athina - Restaurant,4.3,(3),Restaurant,,Opens at 11:00 PM,Closed,
Casablanca,4.4,(175),Mediterranean,"Rue Dar el Mreisseh, Ain el Mreisseh Qaddoura Bldg 2nd Floor",Closing soon: 11:00 PM,,
Artist Restaurant,4.7,(54),Restaurant,,Open until 12:00 AM,Closed,
Fadel Restaurant,4.3,(181),Restaurant,Naas,Closing soon: 11:00 PM,,
Paname,4.3,(234),French,,Open until 11:30 PM,Closed,
Columbia - Restaurant,4.0,(1),Restaurant,,Closing soon: 11:00 PM,Closed,
Abou Maroun - Restaurant,4.0,(88),Restaurant,,Open until 2:00 AM,Temporarily closed,
Al Amir - Restaurant,3.9,(46),Restaurant,13، Voix St,Opens at 7:00 AM,Closed,
Mayrig Beirut,4.5,(833),Armenian,"282 Pasteur Street, Mansour Building",Open until 1:00 AM,Temporarily closed,
Sherif Snack - Restaurant,3.8,(18),Restaurant,,Closing soon: 11:00 PM,Closed,
Chill Yard Lb Restaurant,5.0,(1),Restaurant,,Opens at 9:00 AM,Closed,
Restaurant Fady,5.0,(4),Restaurant,kattin,Opens at 12:00 AM,Closed,
Restaurant Fahd,4.5,(2),Lebanese,,Open until 4:00 AM,Closed,
Fouad El Roumeye - Restaurant,3.8,(103),Restaurant,,Opens at 11:00 AM,Closed,
Em Sherif,4.5,"(1,061)",Restaurant,,Open until 2:00 AM,,
Al Samar - Restaurant,3.9,(14),Restaurant,,Open until 2:00 AM,Temporarily closed,
China Rose - Restaurant,3.9,(10),Restaurant,,Open until 1:00 AM,Closed,
Pacifico,4.4,(675),Mexican,,Open until 2:00 AM,Closed today,
Tavolina,4.4,(731),Italian,Mar Mikhael,Open until 11:30 PM,Temporarily closed,
Al Reef - Restaurant,3.9,(36),Restaurant,,Open until 12:00 AM,Closed,
Basra Restaurant,4.5,(2),Restaurant,Sea Side Rd,Opens at 11:00 PM,Closed,
Restaurant Joumana,5.0,(2),Restaurant,,Closing soon: 11:00 PM,,
Khayme - Restaurant,3.0,(2),Restaurant,,Open until 12:00 AM,Closed,
restaurant fady,4.0,(4),Restaurant,,Closing soon: 11:00 PM,,
Azul Lounge - Restaurant,4.2,(116),Restaurant,Monot,Open until 12:00 AM,Closed,
Rweiss Restaurant مطعم الرويس,4.3,(3),Restaurant,,Opens at 10:00 AM,Closed,
"Nour (Նուռ), Fine Armenian Cuisine",4.6,(157),Restaurant,2038 Abdul Wahab El Inglizi,Open until 12:00 AM,Temporarily closed,
Enab Restaurant,4.2,(979),Lebanese,,Open until 1:00 AM,Closed,
Bartartine - Restos St. Nicolas,4.4,(468),Restaurant,Charles Malek,Open until 12:00 AM,Temporarily closed,
Mezyan,4.4,(905),Restaurant,"Rasamny building, Street",Open until 3:00 AM,Closed,
Makhlouf Saj - Restaurant,3.9,(22),Restaurant,,Opens at 9:00 AM,Closed,
Abou Jihad Restaurant,4.4,(996),Lebanese,"Mar Takla Street, Jal el Dib, Metn",Open until 11:30 PM,Closed,
El Denye Hek,4.3,(926),Lebanese,Armenia street,Open until 1:00 AM,Closed,
Bedivere Eatery and Tavern,4.5,(420),Traditional restaurant,"Makdissi Building, GF, Jeanne Darc",Open until 1:00 AM,Closed,
St. Pierre- Restaurants and Beach Resort,4.5,"(1,061)",Lebanese,Sea Side Rd,Open until 2:00 AM,,
Slate,4.4,(212),Restaurant,Madrid Street,Open until 11:30 PM,Temporarily closed,
Margherita Pizzeria,4.5,(83),Italian,,Open until 12:00 AM,Closed,
Liza,4.4,(564),Restaurant,,Open until 11:30 PM,Closed today,
La Matina Restaurant,3.3,(3),Restaurant,Sea Side Rd,Open until 11:30 PM,Temporarily closed,
BLISS HOUSE,4.0,(463),Restaurant,,Open until 1:00 AM,Closed,
Smoking Bun,4.4,(281),Hamburger,,Open until 3:00 AM,Closed,
Ribal bon restaurant,4.0,(7),Restaurant,al chawiyeh,Closing soon: 11:00 PM,,
Cocktail Sur Mer - Restaurant,5.0,(1),Restaurant,,Open until 12:00 AM,Closed,
Home Sweet Home Cafe/Store,4.4,(412),Restaurant,"5, Alexander Fleming",Closing soon: 11:00 PM,Temporarily closed,
Abdel Wahab,4.4,(599),Restaurant,الناصرة,Open until 11:59 PM,Closed,
Jiser El Hawa - Restaurant,5.0,(2),Restaurant,,Opens at 10:00 AM,Closed,
Zinet Sanine Restaurant,4.6,(157),Restaurant,,Open until 12:00 AM,Temporarily closed,
Abu Naim,4.4,(308),Lebanese,"Abdel Aziz St., Hamra, Facing Piccadilly Theatre",Open until 1:00 AM,Closed,
Place de l'Etoile,4.0,(271),Restaurant,,Open until 12:00 AM,Temporarily closed,
Green Light - Restaurant,3.3,(3),Restaurant,,Open until 3:00 AM,Closed,
Ahwak,4.3,(371),Restaurant,,Open until 12:00 AM,Closed,
Manuccini's,4.7,(40),Restaurant,"Chehade Street, Dakdouk Building",Open until 12:00 AM,Closed,
Nara - Restaurant,4.7,(3),Restaurant,,Open until 1:00 AM,Closed,
Makan,4.4,(337),Restaurant,Patriarch Arida,Open until 12:00 AM,Closed,
Al Mawead - Restaurant,3.7,(16),Restaurant,,Open until 2:00 AM,,
Caramela - Restaurant,5.0,(1),Restaurant,,Open until 11:30 PM,Temporarily closed,
Darna Restaurant,2.8,(4),Restaurant,,Open until 12:00 AM,Closed,
Karawan restaurant,4.7,(6),Restaurant,Unnamed Road,Open until 11:30 PM,Closed today,
Kasr El Omara - Restaurant مطعم قصر الأمراء عنايا,3.6,(22),Restaurant,,Open until 2:30 AM,Temporarily closed,
Restaurant Nabaa Jawz Al Naml,4.0,(7),Restaurant,"Nabaa Jawz Al Naml, Sannine Zahleh Road",Open until 1:00 AM,Closed,
Clap Beirut Restaurant,4.5,(223),Japanese,"Martyr’s Square, Annahar Bldg, 8th Floor",Open until 2:00 AM,Closed,
Alerzal Restaurant,5.0,(2),Restaurant,,Opens at 8:00 AM,Closed,
Al Sayf - Restaurant,4.8,(4),Restaurant,,Opens at 8:00 AM,Closed,
Lagon Ski Club - Restaurant,4.0,(3),Restaurant,,Closing soon: 11:00 PM,Temporarily closed,
Alghadir Restaurant استراحة الغدير,3.6,(18),Restaurant,,Open until 11:59 PM,Closed,
Seaway Beach Resort & Restaurant,5.0,(4),Restaurant,Sea Side Rd,Opens at 10:00 AM,Closed,
Shi Jdid Restaurant,5.0,(1),Restaurant,,Open until 12:00 AM,Temporarily closed,
Al Tahouneh Restaurant,4.1,(9),Restaurant,,Open until 1:00 AM,Closed,
CHOPSTICKS,4.0,(432),Chinese,,Open until 12:00 AM,Temporarily closed,
Jiwar Al Amar,3.6,(19),Restaurant,shabrouh,Open until 3:00 AM,Closed,
Le Chef,4.4,(294),Restaurant,,Open until 12:00 AM,Closed,
Pick a Poke Beirut,4.8,(158),Hawaiian,Abdel Wahab Street,Open until 12:00 AM,Closed,
Al Sakhra Restaurant Faraya,4.7,(3),Lebanese,,Open until 1:00 AM,Closed,
Noy Restaurant,4.5,(122),Restaurant,,Open until 12:00 AM,Closed,
Kasr Al Mier - Restaurant,4.0,(3),Restaurant,,Open until 2:00 AM,,
The Village Dbayeh,4.4,"(3,257)",Pub,,Open until 2:00 AM,Temporarily closed,
Barbar احلى شاورما ومناقيش,4.1,"(3,534)",Restaurant,Hamra - PIccadilly Street,Open until 12:00 AM,Closed,
Sapa Beirut,4.4,(472),Peruvian,,Open until 1:00 AM,Closed today,
Abo Waseem Restaurant,4.3,(59),Restaurant,,Open until 2:00 AM,Temporarily closed,
The King - Restaurant,4.0,(7),Restaurant,,Open until 1:00 AM,Closed,
Orenda,4.7,(95),Restaurant,,Open until 12:00 AM,Closed,
Society Bistro,4.5,"(1,032)",Bistro,,Open until 11:30 PM,Closed,
Restaurant Chez Dany,5.0,(6),Restaurant,"First Floor - Rami Simon Saliba Building, Al Shami Neighborhood, Mar Boutros Street",Opens at 7:30 AM,Closed,
Rawaby - Restaurant,4.0,(3),Restaurant,,Closing soon: 11:00 PM,Temporarily closed,
Basterma Mano,4.6,"(1,132)",Restaurant,,Open until 2:00 AM,Closed,
Restaurant mounir,4.5,(2),Restaurant,Unnamed Road,Opens at 10:00 AM,Closed,
Al Falamanki Sodeco,4.0,"(1,680)",Lebanese,,Open until 12:00 AM,Temporarily closed,
Sako,4.5,(44),Fast Food,Armenia street، El naher,Closing soon: 11:00 PM,Closed,
Republic Cafe & Restaurant,4.0,(839),Restaurant,Zalka Road,Open until 2:00 AM,Temporarily closed,
Jabal El Akhdar - Restaurant,4.0,(4),Restaurant,,Open until 3:00 AM,Closed,
Cantina Sociale,4.5,(670),Restaurant,,Open until 1:00 AM,Closed,
Crepaway,4.5,(336),Restaurant,,Open until 12:00 AM,Temporarily closed,
Almayass Beirut,4.4,(144),Restaurant,Trabaud Street,Open until 11:30 PM,Closed,
Mosaic Restaurant,4.6,(128),Restaurant,Phoenicia Hotel، Minet El Hosn,Opens at 7:00 AM,Closed,
Abo Waseem,4.4,(186),Restaurant,,Open until 2:00 AM,,
le Relais de l' Entrecôte,4.2,(469),Restaurant,,Open until 11:30 PM,Temporarily closed,
Alaarrab restaurant &club,4.1,"(3,534)",Lebanese,Faraya main rd roundabout,Open until 12:00 AM,Closed,
La Nonina Pizzeria,4.3,(197),Pizza,52,Open until 11:30 PM,Closed today,
Main Street Cocktail Bar - Restaurant,4.2,(577),Restaurant,Makdessi Street,Open until 2:00 AM,Temporarily closed,
Leila Min Lebnen Achrafieh,4.4,(385),Lebanese,"ABC, Alfred Naccache STR",Open until 12:00 AM,Closed,
Al Karam Restaurant in Faraya,5.0,(1),Restaurant,,Open until 12:00 AM,Closed,
East Village Neighborhood Eatery,4.5,(116),Restaurant,George Naccash,Open until 12:00 AM,Closed,
Le Gourmet Burger Hamra,4.3,(114),Hamburger,"Bashour Buidling, Emile Edde Street, Toast Food Court",Open until 1:00 AM,Closed,
Haber Restaurant,4.0,(3),Restaurant,,Closing soon: 11:00 PM,Temporarily closed,
Tabliyit Massaad,4.2,(645),Lebanese,Gouraud Street,Open until 12:00 AM,Closed,
El Brimo,4.2,(431),Restaurant,Ashrafieh,Opens at 10:00 AM,Temporarily closed,
Baskinta restaurant el naher,4.0,"(1,680)",Restaurant,,Open until 12:00 AM,Temporarily closed,
Spiced and sliced,4.4,(54),Restaurant,,Open until 1:00 AM,Closed,
Al Siwan Restaurant,3.2,(136),Lebanese,Unnamed Road,Open until 4:30 AM,Temporarily closed,
MÉTROPOLE,4.4,(507),Brasserie,"Karagulla Bldg, Minet el Hosn, 24 Park Avenue",Open until 11:30 PM,Closed,
Zaituna Bay,4.5,"(8,686)",Restaurant,"Beirut Marina, طريق ميناء الحصن",Open until 12:00 AM,Closed,
Kababji,4.1,(327),Restaurant,Hamra,Open until 12:00 AM,Temporarily closed,
Chez Nabil Restaurant,3.0,(1),Restaurant,,Open until 11:30 PM,Closed,
Falafel M. Sahyoun,4.3,(664),Falafel,,Open until 11:30 PM,Closed,
Country House - Restaurant,3.0,(2),Restaurant,,Open until 2:00 AM,,
Burgundy Restaurant,4.4,(70),Restaurant,,Closing soon: 10:30 PM,Temporarily closed,
Mini Guette,4.3,(237),Restaurant,,Open until 1:00 AM,Closed,
Al-Baghdadi Restaurant,3.8,(27),Restaurant,Hamra under 35 Rooms hotel,Open until 11:45 PM,Closed today,
Divvy,4.4,(165),Restaurant,,Open until 12:00 AM,Temporarily closed,
Naoura Restaurant,5.0,(2),Restaurant,,Open until 12:00 AM,Closed,
Beirut on the roof,4.3,(65),Lebanese,,Open until 12:00 AM,Closed,
"Bartartine - Dunes, Verdun",4.4,(140),Restaurant,"Dunes, Verdun Street",Closing soon: 11:00 PM,Closed,
Istirahet El Nawbara - Restaurant,3.5,(13),Restaurant,,Open until 1:00 AM,Closed,
Mini guette,4.2,(62),Restaurant,,Closing soon: 11:00 PM,Temporarily closed,
The Lobby Lounge,1.0,(2),Restaurant,,Open until 12:00 AM,Closed,
Olio & Soto - Hamra,4.3,(11),Restaurant,Abdel A'aal Street,Open until 12:00 AM,Temporarily closed,
Numero Six,4.1,(104),Restaurant,,Open until 12:00 AM,Closed today,
Bay Rock Cafe,4.1,"(1,689)",Lebanese,General De Gaulle,Open until 1:00 AM,Closed,
Villa Clara,4.3,(162),French,"Rue Kenchaara, Ashrafieh , Mar Mkhayel",Open until 11:30 PM,Temporarily closed,
Restaurant karawan al wadi,4.4,(507),Restaurant,Ain al cha3eb_Annaya_after the monastery of Saint Charbel Jbeil _,Open until 11:30 PM,Closed,
O de jbeil,3.6,(49),Restaurant,,Open until 12:00 AM,Closed,
Deli.Co,4.2,(108),Restaurant,Patriarch Howayek,Closing soon: 10:30 PM,Temporarily closed,
Buffalo Wings & Rings Ashrafieh,4.3,(240),Restaurant,Charles Malek Avenue Feyez Moukarzel Building Ground Floor Near Sagesse school Ashrafieh Beirut,Open until 12:00 AM,Closed,
Sultan El Roumeye - Restaurant,3.5,(55),Restaurant,,Open until 11:30 PM,Closed,
New Indo-Lanka Restaurant,4.1,(86),Restaurant,51M,Closing soon: 11:00 PM,,
Le Jardin Bab Sharqi,4.3,(161),Middle Eastern,,Open until 1:30 AM,Temporarily closed,
Kahwet Maalem Artin,4.4,(370),Restaurant,,Open until 1:00 AM,Closed,
Onno Bistro,4.4,(646),Armenian,,Open until 12:00 AM,Closed today,
Chopsticks,4.2,(339),Chinese,Mirna Chalouhi,Open until 12:00 AM,Temporarily closed,
Hemingway's Bar & Lounge,4.1,(25),Restaurant,2038,Open until 12:00 AM,Closed,
The Gathering,4.2,(273),Restaurant,,Open until 12:00 AM,Temporarily closed,
Leila Min Lebnen - Zaitunay Bay,4.0,(5),Lebanese,Minet Al Hosn,Open until 12:00 AM,Closed,
Zein Chicken,4.2,(123),Chicken,,Open until 12:00 AM,Closed,
The Barn,4.5,(264),Health Food,,Opens at 8:00 AM,Closed,
Sawani Falfoul,4.5,(288),Restaurant,George Catroux,Open until 12:00 AM,Closed,
Nabee El Sofsaf - Restaurant,3.6,(24),Restaurant,,Open until 12:00 AM,Closed today,
The Happy Prince,4.5,(220),Restaurant,Alexander Fleming,Open until 12:00 AM,Temporarily closed,
Cozmo Café,4.1,(315),Restaurant,"ABC Ashrafieh, Level 3, Furn El Hayek Street",Open until 12:00 AM,Closed,
Stem Beirut,4.4,(224),Restaurant,38 Monot Street,Open until 11:30 PM,Temporarily closed,
Villa Badaro,4.3,(543),Restaurant,"33.873713, 35.515498",Open until 11:30 PM,Temporarily closed,
Le Phoenicien,4.5,(201),Restaurant,شارع تابت,Closing soon: 11:00 PM,Closed,
East village,4.3,(323),Restaurant,,Open until 2:00 AM,Temporarily closed,
Agha,3.9,"(1,455)",Lebanese,Bechara El Khoury,Open until 12:00 AM,Closed,
Restaurant Apo,4.4,(253),Restaurant,Tiro Street,Opens at 11:00 AM,Closed,
Al Ajami - Restaurant,4.3,(207),Lebanese,,Open until 12:00 AM,,
The Village,4.3,(68),Bar,Unnamed Road,Open until 3:00 AM,Temporarily closed,
Tawlet,4.5,(370),Lebanese,12 Rue Naher,Open until 1:00 AM,Closed today,
Sushi Burrito Kaslik,5.0,(5),Japanese,,Open until 12:00 AM,Closed today,
Bobbos Restaurant,4.2,(339),Restaurant,Armenian street Beirut,Open until 12:00 AM,Temporarily closed,
Ichiban Express,3.7,(102),Japanese,,Open until 12:00 AM,Closed,
Mayha,4.7,(41),Japanese,"Pharaon Street, Facing Liwan Beirut, Mar Mikhael",Open until 12:00 AM,Temporarily closed,
O&C,4.4,"(1,385)",Supermarket,,Open until 11:30 PM,Closed,
Ahwak Cafe - Broumana Square,4.2,(135),Restaurant,,Open until 12:30 AM,Closed,
"Feluka, seafood restaurant & wine bar 'فلوكة'",4.3,(191),Seafood,Sporting Club Beach، General De Gaulle Ave.، Ra's Bayrut,Opens at 8:00 AM,Closed,
Mr. Steak,4.4,(34),Restaurant,,Open until 12:00 AM,Closed,
Restaurant Chez Jean Claude,4.2,(39),Restaurant,,Open until 12:00 AM,Closed today,
Kasr Fakhreddine - Restaurant,4.3,(803),Lebanese,,Open until 12:00 AM,Temporarily closed,
Square Café,4.0,(86),Lebanese,,Open until 2:00 AM,Closed,
Bartartine - ABC Ashrafieh,4.4,(97),Restaurant,ABC Ashrafieh، Furn El Hayek Street,Opens at 10:00 AM,Closed,
Onno Bistro,4.8,(4),Restaurant,,Open until 11:30 PM,Temporarily closed,
GET GRILLED,4.5,(294),Modern Indian restaurant,,Closing soon: 11:00 PM,Closed,
Divvy ABC Verdun,4.6,(14),Restaurant,"ABC Verdun, Level 4, Verdun, Beirut District",Open until 2:00 AM,Temporarily closed,
Bou Melhem,4.2,"(1,046)",Lebanese,Sin El Fil Dimitri El Hayek Street Sin El Fil,Open until 12:00 AM,Closed,
Hachem restaurant.,3.3,(3),Restaurant,,Opens at 11:00 AM,Closed,
Margherita Pizzeria,4.4,(554),Pizza,,Open until 12:00 AM,,
Abou Abdallah Restaurant مطعم أبو عبدالله,4.5,(333),Brunch,"Dawra, Pierre Gemmayel street , behind T.gargour , behind Khoury Home بوشرية",Open until 3:00 AM,Closed today,
Kitchen Confidential,4.4,(125),Gluten Free,Independance,Open until 1:00 AM,Closed today,
Leila Min Lebnen Delivery,4.0,(3),Restaurant,,Open until 12:00 AM,Closed today,
Catrinas Beirut,4.3,(353),Mexican,"Mar Mikhael main street Beirut, Lebanon",Open until 12:00 AM,Temporarily closed,
OBI urban sushi,4.1,(221),Restaurant,Badaro,Open until 11:30 PM,Closed,
Sydney's Beirut,4.4,(147),Lounge,,Open until 12:00 AM,Temporarily closed,
3al Sate7,4.4,(31),Restaurant,Qobayat,Open until 11:30 PM,Closed,
Le Pichet,4.3,(192),Restaurant,Mar Roukoz Street,Open until 12:00 AM,Closed,
"Chopsticks, Sin el Fil",4.2,(293),Restaurant,Charles de Gaulle St,Open until 12:00 AM,Closed,
Bergerac Le Café des Lettres,4.6,(140),French steakhouse restaurant,"Consulat de France, Espace des lettres, Damascus",Open until 12:00 AM,Closed today,
KB Döner,4.2,(485),Sandwich,Bliss,Opens at 12:00 PM,Closed,
The BBQ House,4.3,(673),Restaurant,Chiyah، Old Saida Rd,Open until 1:30 AM,Temporarily closed,
Crepico,4.3,(716),Crêperie,شارع مستشفى هارون Zalka Amaret Chalhoub,Open until 1:00 AM,Closed,
L'Atelier,4.4,(43),Restaurant,,Opens at 8:00 AM,Closed,
Ahwak Café City centre,4.3,(199),Restaurant,Hazmieh Beirut,Open until 12:00 AM,Temporarily closed,
Falafel Freiha,3.9,(95),Falafel,,Opens at 10:00 AM,Closed,
Baghdadi Restaurant,3.6,(69),Restaurant,,Open until 2:00 AM,Temporarily closed,
graze delivery center,4.9,(9),Restaurant,Maurice Barres,Open until 12:00 AM,Closed,
Alma Beirut,4.9,(20),Restaurant,"Bossa Nova Beirut Hotel, Riverside, Charles Helou Street",Closing soon: 10:30 PM,Closed,
Nasma City Centre Beirut,4.1,(274),Lebanese,Elias El Hrawi,Open until 12:00 AM,,
Mum & I,4.2,(120),Lebanese,National Museum of,Open until 3:00 AM,Closed today,
Special Hamra,4.0,(1),Restaurant,"Hamra, Facing Wardieh Station",Open until 1:00 AM,Closed today,
China Club,3.6,(67),Restaurant,,Open until 12:00 AM,Closed today,
SAMAKMAK Restaurant,5.0,(5),Restaurant,,Open until 12:00 AM,Temporarily closed,
Abul3ezz Dekweneh - شاورما ابو العز,4.3,(522),Restaurant,Blvd. Chakhtura Dekwaneh,Opens at 11:00 AM,Closed,
Al Bakawat - Restaurant,3.7,(9),Restaurant,,Open until 12:00 AM,Temporarily closed,
Grotesque,4.4,(25),Bar,El Arz,Open until 11:30 PM,Temporarily closed,
Cafe Younes,4.4,(704),Restaurant,,Closing soon: 11:00 PM,Closed,
Sushi Burrito,3.8,(18),Sushi,,Open until 12:00 AM,Closed,
Community Badaro,4.4,(160),Bar,,Open until 2:00 AM,Closed today,
Mediterranée,4.2,(485),Mediterranean,,Opens at 6:00 AM,Closed,
The Bohemian Bar,4.2,(431),Bar,Armenia,Open until 2:00 AM,Temporarily closed,
NoGarlicNoOnions,5.0,(169),Food and beverage consultant,"Freiha Building, 7th Floor, Facing, Mar Mitr",Open until 1:00 AM,Closed today,
Swiss time cafe,3.7,(296),Restaurant,,Open until 3:00 AM,Closed,
Ferdinand,4.6,(682),Bar,"Mahatma Gandhi, Hamra",Open until 1:30 AM,Temporarily closed,
Munchease,4.4,"(1,928)",Fast Food,Khaldeh highway heading south Chouaifet El Qoubbeh,Open until 12:00 AM,Closed,
Le Commodore Hotel,4.0,"(1,100)",5-star hotel,,Open until 2:00 AM,Temporarily closed,
فندق جولدن توليب سيرينادا - الحمرا,4.0,(401),4-star hotel,,Open until 12:00 AM,Closed,
Crepaway Batroun,4.3,(493),Diner,,Closing soon: 10:30 PM,Temporarily closed,
Vesper,4.4,(65),Cocktail bar,,Open until 12:00 AM,Temporarily closed,
InterContinental Phoenicia Beirut,4.6,"(2,545)",5-star hotel,,Open until 3:00 AM,Temporarily closed,
Altalleh - Restaurant,4.0,(32),Restaurant,,Open until 1:00 AM,Closed today,
Coop d'état rooftop,4.3,(579),Pub,Saifi Urban Gardens bldg Pasteur street (Behind Coral Gas Station، Gouraud,Open until 12:00 AM,Closed today,
Petit Café - Restaurant,4.0,"(1,211)",Cafe,,Open until 12:00 AM,Temporarily closed,
Helado,4.7,"(1,192)",Ice Cream,St georges,Open until 2:00 AM,Closed,
Château Sainte-Andrée,4.7,(84),Winery,,Open until 12:00 AM,Temporarily closed,
Kempinski Summerland Hotel & Resort,4.5,"(1,311)",5-star hotel,,Open until 11:30 PM,Temporarily closed,
Mövenpick Hotel Beirut,4.4,"(2,809)",5-star hotel,,Closing soon: 11:00 PM,Closed,
Four Seasons Hotel Beirut,4.6,"(1,941)",5-star hotel,Minet El Hosn,Open until 12:00 AM,Closed,
"Le Gray, Beirut",4.6,(946),5-star hotel,,Open until 2:00 AM,Temporarily closed,
Wooden Bakery - Ashrafieh,4.0,(304),Bakery,,Opens at 6:00 AM,Closed,
B.Hive,4.6,(315),Coffee shop,Mahatma Ghandi,Open until 1:00 AM,Temporarily closed,
Saifi Village,4.5,(358),Art center,,Open until 1:00 AM,Closed today,
Ets Orfali sanitaire,4.9,(12),Home goods store,,Open until 3:00 AM,Closed today,
LeMall Dbayeh,4.3,"(4,588)",Shopping mall,Dbayeh,Opens at 10:00 AM,Closed,
Aljawad Restaurant Jal al Bahr Branch,4.3,(322),Restaurant,جل البحر الشارع العام,Open until 1:00 AM,Closed,
Let's Eat,4.0,(77),Cafe,,Open until 2:00 AM,Closed today,
Furn Kaak,4.0,(401),Cafe,,Open until 12:00 AM,Closed,
Urbanista,4.2,(586),Cafe,,Opens at 8:00 AM,Closed,
Breij - Old Church,4.6,(10),Church,Barij,Open until 12:00 AM,Temporarily closed,
Printania - Hotel,4.0,(341),5-star hotel,Chahine Achkar Street,Open until 3:00 AM,Temporarily closed,
