section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,Unnamed: 7
Inka Beirut,4.2,-62,Peruvian,Beirut,Open until 2:00 AM,Closed,
KFC,3.6,-529,Chicken,Jal El Dib,Open until 2:00 AM,,
Hardee's,3.4,-16,Fast Food,Beirut,Open until 4:00 AM,Temporarily closed,
Jalsat,4.2,-106,Lebanese,,Open until 12:00 AM,,
Kronfol - Broumana Villa,4.2,-107,Restaurant,,Open until 2:00 AM,Closed today,
OBI urban sushi,4.1,-221,Restaurant,Beirut,Open until 11:30 PM,,
"Chopsticks, Sin el Fil",4.2,-293,Restaurant,Charles de Gaulle St,Open until 12:00 AM,,
Mandarine,4.0,-236,Restaurant,,Open until 12:00 AM,Temporarily closed,
Stone Restaurant & Lounge,4.2,-286,Restaurant,Zouk Mkayel,Open until 3:00 AM,Closed,
Sydney's Beirut,4.4,-147,Lounge,,Open until 12:00 AM,Temporarily closed,
Onno Bistro,4.8,-4,Restaurant,,Open until 12:00 AM,,
Square Cafe Sodeco,4.0,-280,Restaurant,,Open until 2:00 AM,Closed today,
Ahwet Zeitouna,4.8,-46,Restaurant,"District, Lebanon",Open until 1:00 AM,,
BRGR Co.,4.2,-128,Restaurant,Beirut,Open until 12:00 AM,,
Balthus,4.5,-65,Restaurant,,Open until 11:30 PM,,
Citywalk Hazmieh,3.9,-158,Business center,,Open until 11:59 PM,Temporarily closed,
Lamb House Restaurant,4.0,-273,Restaurant,,Closing soon: 11:00 PM,Temporarily closed,
KFC,3.4,-305,Chicken,Hazmiyeh,Open until 3:00 AM,,
Gordon's Café,4.0,-66,Cafe,Beirut,Closing soon: 11:00 PM,Temporarily closed,
Roadster Diner,4.1,-124,Restaurant,,Open until 1:00 AM,,
Shah Restaurant,5.0,-3,Lebanese,,Open until 2:00 AM,Closed today,
Manuccini's,4.7,-40,Restaurant,Achrafieh,Open until 12:00 AM,,
saj mahal lebanon,4.0,-28,Restaurant,,Opens at 7:00 AM,Closed,
The Bosta - Kaslik,4.3,-287,Restaurant,,Open until 1:00 AM,,
L'Autre Bistro,4.6,-152,French steakhouse restaurant,Beirut,Closing soon: 11:00 PM,Closed today,
Tourist restaurant,4.1,-96,Restaurant,,Open until 12:00 AM,,
Abou el Zouz - Lebanese Grill Restaurant,4.6,-13,Lebanese,,Opens at 11:45 AM,Closed,
Appetito Trattoria Gemmayzeh,4.4,-250,Italian,,Open until 12:00 AM,Temporarily closed,
DON,4.3,-248,Asian,Tabaris,Open until 11:30 PM,Closed,
Al Delb - Restaurant,4.2,-252,Restaurant,,Open until 12:30 AM,Temporarily closed,
SAX,4.5,-180,Restaurant,,Open until 2:00 AM,,
Le2metna,4.4,-143,Restaurant,,Open until 12:00 AM,Closed today,
CASA JOSE,4.5,-55,Spanish,Beirut,Open until 1:00 AM,,
Captain Seafood Restaurant,4.3,-447,Seafood,Rmayleh,Closing soon: 11:00 PM,,
AM PM,4.5,-212,Restaurant,,Open until 11:30 PM,,
Margherita Pizzeria,4.5,-83,Italian,,Open until 12:00 AM,Temporarily closed,
Amassi Restaurant,4.7,-36,Restaurant,Jounieh,Open until 2:30 AM,Temporarily closed,
Saki saki,4.0,-55,Sushi,Jounieh,Open until 12:00 AM,,
Al Mamlaka Restaurant,4.4,-145,Restaurant,Beit Ed Dine - Barouk Rd,Open until 1:00 AM,Temporarily closed,
SALATA,4.6,-127,Restaurant,Beirut,Open until 11:30 PM,,
AL DAR Restaurant,3.8,-37,Restaurant,,Open until 3:30 AM,Closed today,
Olivo - Restaurant,4.3,-350,Restaurant,,Closing soon: 11:00 PM,,
Le Montagnou,4.5,-832,Grill,Kfardebian,Closing soon: 11:00 PM,Closed,
Al Mina,4.4,-313,Restaurant,Tabarja,Open until 12:00 AM,,
Chalhoub Restaurant,4.2,-178,Restaurant,,Open until 2:00 AM,Closed today,
Yakiniku Japanese Grill,4.5,-100,Restaurant,Beirut,Open until 11:30 PM,,
JNAYNE,4.3,-91,Lebanese,Annaya,Opens at 11:45 AM,Closed,
El Soussi Restaurant,4.4,-781,Breakfast,,Opens at 7:00 AM,Closed,
DIVVY Restaurant,4.8,-11,Restaurant,Beirut,Open until 11:30 PM,Closed,
Tokyo Lebanon,4.5,-8,Restaurant,,Opens at 11:00 AM,Closed,
Babylone - Restaurant,4.5,-180,Restaurant,,Open until 2:00 AM,,
Restaurant Joseph,4.4,"-1,437",Restaurant,El Saydeh,Open until 12:00 AM,Closed today,
Tawlet Ammiq,4.4,-368,Lebanese,Tawlet,Open until 1:00 AM,,
La Foule,4.7,-109,Restaurant,Beirut,Opens at 7:00 AM,Closed,
Redstone lebanon,5.0,-2,Country food restaurant,,Open until 11:30 PM,Closed today,
Ohannes Kebab House,4.5,-132,Armenian,Baouchriyeh,Open until 12:00 AM,Temporarily closed,
BARON,4.4,-303,Restaurant,Beirut,Open until 2:30 AM,Temporarily closed,
Jammal Restaurant,4.0,-83,Seafood,"Old, Sea Side Rd",Opens at 9:00 AM,Closed,
Restaurant - Aley,4.0,-42,Restaurant,,Open until 1:00 AM,Temporarily closed,
Numero Six,4.1,-104,Restaurant,,Open until 11:30 PM,Closed today,
Tabliyet Masaad Sour,3.8,-37,Restaurant,,Open until 3:30 AM,Closed today,
Tawlet Souk el Tayeb,4.6,-18,Restaurant,Beirut,Closing soon: 11:00 PM,Closed today,
Capitole Beirut,4.3,-379,Restaurant,"Down Town, Beirut",Closing soon: 11:00 PM,Temporarily closed,
Onno Downtown,4.5,-41,Restaurant,,Open until 12:00 AM,,
Kelly's Fish Lounge,4.8,-147,Restaurant,Beirut,Closing soon: 10:30 PM,Closed today,
Deli.Co,4.2,-108,Restaurant,Beirut,Closing soon: 10:30 PM,,
Kahwet Maalem Artin,4.4,-370,Restaurant,,Opens at 11:45 AM,Closed,
Papabubble Lebanon,5.0,-3,Restaurant,,Opens at 7:00 AM,Closed today,
bartartine - Zaitunay Bay,4.4,-356,Restaurant,Beirut Central District,Opens at 8:00 AM,Closed,
"Feluka, seafood restaurant & wine bar 'فلوكة'",4.3,-191,Seafood,Beirut,Opens at 11:00 AM,Closed,
SOCRAT Restaurant,4.4,-277,Restaurant,Beirut,Opens at 9:30 AM,Closed,
