date,year,month,day,new_cases,new_deaths,local,travelers,prev_cases,prev_deaths,total_cases,total_deaths,month_avg_ratio,cumulative_avg_ratio,diff_avg_ratio,simple_ratio
4/6/2020,2020,4,6,14,1,1,0,7,1,554,29,-0.33892463235294124,-0.7438469869474789,-0.20756017267771693,0.2086305278174037
4/7/2020,2020,4,7,7,0,1,0,14,1,561,29,-0.6694623161764706,-0.9172533093867713,-0.01640375992998286,0.2086305278174037
4/8/2020,2020,4,8,27,0,0,1,7,0,588,29,0.27493106617647056,-0.6882395224391532,-0.38279357569633,-0.1919392050157623
4/9/2020,2020,4,9,7,0,1,0,27,0,595,29,-0.6694623161764706,-0.9182665341697904,0.14507858240543986,0.08162061252883887
4/10/2020,2020,4,10,27,1,0,1,7,0,622,30,0.27493106617647056,-0.596836718551564,-0.35627478039996685,-0.1919392050157623
4/11/2020,2020,4,11,10,0,1,0,27,1,632,30,-0.5278033088235294,-0.8850770097108317,0.08703154842719171,0.1402405734312534
4/12/2020,2020,4,12,11,0,1,0,10,0,643,30,-0.48058363970588236,-0.8730461912940564,-0.12306207059930072,-0.534777158172308
4/13/2020,2020,4,13,2,0,1,0,11,0,645,30,-0.9055606617647058,-0.9764994685985021,-0.007957137263011005,0.04076427614230753
4/14/2020,2020,4,14,9,1,1,0,2,0,654,31,-0.5750229779411764,-0.7967561992626773,-0.19193519883232316,-0.17239921804829078
4/15/2020,2020,4,15,12,0,1,0,9,1,666,31,-0.4333639705882353,-0.8577529771587262,-0.14609525587049765,-0.4508440323347599
4/16/2020,2020,4,16,5,0,1,0,12,0,671,31,-0.7639016544117647,-0.9399954995302198,-0.03067034164841219,0.1646655571405928
4/17/2020,2020,4,17,5,0,1,0,5,0,676,31,-0.7639016544117647,-0.9392714633254562,-0.11173670901956978,0.47242035187826914
4/18/2020,2020,4,18,4,0,1,0,5,0,680,31,-0.8111213235294118,-0.9507741626249875,-0.0999396275471382,0.366904422253923
4/19/2020,2020,4,19,1,0,1,0,4,0,681,31,-0.9527803308823529,-0.9874797554344993,-0.07577927993208604,0.076735615786971
4/20/2020,2020,4,20,4,0,1,0,1,0,685,31,-0.8111213235294118,-0.9492894555068043,-0.14805311719943323,-0.18705420827389443
4/21/2020,2020,4,21,0,0,0,0,4,0,685,31,-1.0,-1.0,-0.06371722932098764,-0.05515929624346172
4/22/2020,2020,4,22,5,1,1,0,0,0,690,32,-0.7639016544117647,-0.837243121093623,-0.17285241045412886,-0.05515929624346172
4/23/2020,2020,4,23,5,1,1,0,5,1,695,33,-0.7639016544117647,-0.8347738962942431,-0.11173670901956978,1.0
4/24/2020,2020,4,24,8,0,1,0,5,1,703,33,-0.6222426470588236,-0.8957853390552353,-0.149196912668188,-0.3848965763195435
4/25/2020,2020,4,25,8,2,1,0,8,0,711,35,-0.6222426470588236,-0.6966857900464649,-0.11173670901956978,0.47242035187826914
4/26/2020,2020,4,26,3,0,1,0,8,2,714,35,-0.8583409926470589,-0.9601947406671058,-0.04767524497231128,0.14268307180218737
4/27/2020,2020,4,27,3,0,1,0,3,0,717,35,-0.8583409926470589,-0.959700644700491,-0.11173670901956978,0.47242035187826914
4/28/2020,2020,4,28,7,0,1,0,3,0,724,35,-0.6694623161764706,-0.9053507171497857,-0.16398619830560116,-0.2812648597242035
4/29/2020,2020,4,29,4,0,1,0,7,0,728,35,-0.8111213235294118,-0.9453443169929105,-0.0723389086305058,0.24631478839752735
4/30/2020,2020,4,30,4,0,1,0,4,0,732,35,-0.8111213235294118,-0.944780172116699,-0.11173670901956978,0.47242035187826914
5/1/2020,2020,5,1,4,0,1,0,4,0,736,35,-0.9055606617647058,-0.9442221592500114,-0.11173670901956978,0.47242035187826914
5/2/2020,2020,5,2,4,1,1,0,4,0,740,36,-0.9055606617647058,-0.8427933319232523,-0.11173670901956978,0.47242035187826914
5/3/2020,2020,5,3,4,0,1,0,4,1,744,36,-0.9055606617647058,-0.9431241339316907,-0.11173670901956978,0.47242035187826914
5/4/2020,2020,5,4,3,0,1,0,4,0,747,36,-0.9291704963235294,-0.9568803000640187,-0.09767345218777791,0.34052543984783645
5/5/2020,2020,5,5,1,0,1,0,3,0,748,36,-0.9763901654411765,-0.9854348937441001,-0.08327128256045549,0.1207005864637819
5/6/2020,2020,5,6,9,0,0,1,1,0,757,36,-0.7875114889705882,-0.8685953195866543,-0.22664696015433972,-0.11377925714587625
5/7/2020,2020,5,7,34,0,0,1,9,0,791,36,-0.197265625,-0.5181332647482848,-0.46852801356338897,-0.19481273251097872
