date,year,month,day,new_cases,new_deaths,prev_cases,prev_deaths,total_cases,total_deaths,month_avg_ratio,cumulative_avg_ratio,diff_avg_ratio,simple_ratio
5/8/2020,2020,5,8,14,0,11,0,810,27,-0.7051971326164874,-0.7733532314914806,0.06979307124094028,-0.49458564872829724
5/9/2020,2020,5,9,36,0,14,0,846,27,-0.24193548387096775,-0.43413504262096625,-0.24216128829298128,-0.27564939086747736
5/10/2020,2020,5,10,12,0,36,0,858,27,-0.7473118279569892,-0.8114333072292672,0.4990344087659861,0.12281459843921486
5/11/2020,2020,5,11,11,0,12,0,869,27,-0.7683691756272402,-0.8269973345847152,0.13392759343068328,0.44465089749462006
5/12/2020,2020,5,12,8,0,11,0,877,27,-0.8315412186379928,-0.873642849692063,0.1650223243815009,0.34015859260650155
5/13/2020,2020,5,13,9,0,8,0,886,27,-0.810483870967742,-0.8574160815633529,0.10307017631836204,-0.5515090757721104
5/14/2020,2020,5,14,5,0,9,0,891,27,-0.8947132616487455,-0.9201947998209439,0.18161306182500153,0.24541890284127404
5/15/2020,2020,5,15,11,0,5,0,902,27,-0.7683691756272402,-0.8243173328462451,0.02372383198982471,-0.31187338989535845
5/16/2020,2020,5,16,9,0,11,0,911,27,-0.810483870967742,-0.855855064026595,0.15030634725550102,0.3903148989527985
5/17/2020,2020,5,17,21,0,9,0,932,27,-0.5577956989247312,-0.667078735733723,-0.07298830897814876,-0.2975430166535593
5/18/2020,2020,5,18,23,0,21,0,955,27,-0.5156810035842294,-0.6397054862342526,0.0870466618589249,-0.5648356305984212
5/19/2020,2020,5,19,7,0,23,0,962,27,-0.8525985663082437,-0.8897991393785258,0.37352559378800115,0.10682273264764194
5/20/2020,2020,5,20,64,1,7,0,1026,28,0.3476702508960574,0.015587605178745578,-0.7732609128788928,-0.12143616423676235
5/21/2020,2020,5,21,62,0,64,1,1088,28,0.3055555555555556,-0.11592268683995632,0.14729712202463968,0.47338628133885274
5/22/2020,2020,5,22,10,0,62,0,1098,28,-0.7894265232974911,-0.857023470405204,0.870004694372189,0.02789513696665294
5/23/2020,2020,5,23,17,0,10,0,1115,28,-0.6420250896057347,-0.7578298163842618,0.024461720905379417,-0.38563266393403045
5/24/2020,2020,5,24,26,1,17,0,1141,29,-0.45250896057347667,-0.5733507388440572,-0.002547437403098665,-0.42183144611608636
5/25/2020,2020,5,25,0,0,26,1,1141,29,-1.0,-1.0,0.4660053374442909,-0.06109185816387386
5/26/2020,2020,5,26,21,0,0,0,1162,29,-0.5577956989247312,-0.7062729086697184,-0.1635163262446423,-0.06109185816387386
5/27/2020,2020,5,27,7,0,21,0,1169,29,-0.8525985663082437,-0.901571310848449,0.30308200602977564,0.12281459843921486
5/28/2020,2020,5,28,4,0,7,0,1173,29,-0.9157706093189965,-0.9433170225984344,0.15781104443134714,0.2541763531557068
5/29/2020,2020,5,29,19,1,4,0,1192,30,-0.599910394265233,-0.6705395723288741,-0.07853212404465079,-0.17724330443950884
5/30/2020,2020,5,30,29,0,19,1,1221,30,-0.38933691756272404,-0.5964305089435953,-0.0114835177761769,-0.42256316941822064
5/31/2020,2020,5,31,22,1,29,0,1243,31,-0.5367383512544803,-0.6334366625028678,0.20945534555924722,0.3574538706569487
6/1/2020,2020,6,1,0,0,22,1,1243,31,-1.0,-1.0,0.4028654710071661,-0.06109185816387386
6/2/2020,2020,6,2,14,1,0,0,1257,32,-0.737953006770211,-0.7431511602752345,-0.06319093252659544,-0.06109185816387386
6/3/2020,2020,6,3,50,1,14,1,1307,33,-0.06411788132218244,-0.26441561598848284,-0.34508972922849873,0.33614608809879776
6/4/2020,2020,6,4,6,0,50,1,1313,33,-0.8876941457586619,-0.918977447077488,0.6652266693223763,0.005114466213238078
6/5/2020,2020,6,5,8,0,6,0,1321,33,-0.8502588610115491,-0.8915056631890397,0.09486483333295898,-0.4748813855208235
6/6/2020,2020,6,6,11,1,8,0,1332,34,-0.7941059338908801,-0.7853415929501296,0.08269718101533771,-0.46234230893424927
6/7/2020,2020,6,7,19,0,11,1,1351,34,-0.6443647949024293,-0.7428529109763948,0.022164072928345116,-0.38050833542187007
6/8/2020,2020,6,8,18,2,19,0,1369,36,-0.6630824372759856,-0.6289033208307457,0.1307068117347895,0.46158965007648356
6/9/2020,2020,6,9,20,0,18,2,1389,36,-0.6256471525288729,-0.7314053923007886,0.09429851441185637,-0.5576392909922134
6/10/2020,2020,6,10,14,0,20,0,1403,36,-0.737953006770211,-0.8120169454371029,0.19221485148493717,0.3251117007026124
6/11/2020,2020,6,11,20,0,14,0,1423,36,-0.6256471525288729,-0.7326313482205139,0.04487101785460178,-0.44729541703036013
6/12/2020,2020,6,12,20,0,20,0,1443,36,-0.6256471525288729,-0.7337772472791333,0.118641158855052,0.4906275116453923
6/13/2020,2020,6,13,4,0,20,0,1447,36,-0.9251294305057746,-0.9463920839156582,0.3177655307655739,0.04925201579797939
6/14/2020,2020,6,14,18,0,4,0,1465,36,-0.6630824372759856,-0.7594591111209602,-0.05403531763774741,-0.18369616256593302
6/15/2020,2020,6,15,9,0,18,0,1474,36,-0.8315412186379928,-0.8793362079944386,0.22892919354500924,0.21476782674075923
6/16/2020,2020,6,16,16,1,9,0,1490,37,-0.7005177220230984,-0.7209150255264531,0.03292940203484293,-0.3714340036815861
6/17/2020,2020,6,17,6,0,16,1,1496,37,-0.8876941457586619,-0.919258963439929,0.24126134193307372,0.14580290551460096
6/18/2020,2020,6,18,15,1,6,0,1511,38,-0.7192353643966547,-0.7327034894018188,0.008489617180561557,-0.28177960608758035
6/19/2020,2020,6,19,26,0,15,1,1537,38,-0.5133412982875348,-0.6532067585266803,-0.015886533948966497,-0.3793914945922966
6/20/2020,2020,6,20,51,0,26,0,1588,38,-0.04540023894862599,-0.3356669381568146,-0.18622419230510745,-0.3423605564980095
6/21/2020,2020,6,21,16,0,51,0,1604,38,-0.7005177220230984,-0.7918184546522549,0.538056162121306,0.11199657158020965
6/22/2020,2020,6,22,19,1,16,0,1623,39,-0.6443647949024293,-0.6872166555806427,0.08364771292018666,-0.5256976432664138
6/23/2020,2020,6,23,22,0,19,1,1645,39,-0.5882118677817603,-0.7159447733791755,0.08344799050168504,-0.5375767684536946
6/24/2020,2020,6,24,18,0,22,0,1663,39,-0.6630824372759856,-0.7681076557704081,0.1658300868838631,0.3903148989527985
6/25/2020,2020,6,25,35,0,18,0,1698,39,-0.3448825169255276,-0.554585464018307,-0.08282979636561974,-0.3448332483514964
6/26/2020,2020,6,26,22,0,35,0,1720,39,-0.5882118677817603,-0.7212438825107774,0.27143887893633867,0.2857031742876649
6/27/2020,2020,6,27,21,1,22,0,1741,40,-0.6069295101553165,-0.667945521846513,0.1303454273791895,0.4655493584722439
6/28/2020,2020,6,28,5,0,21,1,1746,40,-0.9064117881322182,-0.9365319468384532,0.3072946316098265,0.07026989655261809
6/29/2020,2020,6,29,33,1,5,0,1779,41,-0.3823178016726404,-0.517884889800657,-0.20918894138331534,-0.14468570207436873
6/30/2020,2020,6,30,10,0,33,1,1789,41,-0.8128235762644365,-0.8740501496175944,0.38312052296248866,0.10609582965711589
7/1/2020,2020,7,1,8,0,10,0,1797,41,-0.9713261648745519,-0.8988664651391766,0.141344501481789,0.3802836376835391
7/2/2020,2020,7,2,34,0,8,0,1831,41,-0.8781362007168458,-0.5747342335905914,-0.17835457199806254,-0.19090818047193647
7/3/2020,2020,7,3,25,0,34,0,1856,41,-0.910394265232975,-0.6890287670054869,0.2198949874069382,0.3445841490488219
7/4/2020,2020,7,4,17,0,25,0,1873,41,-0.9390681003584229,-0.7887825209142462,0.20864675995892878,0.3140773133064272
7/5/2020,2020,7,5,12,0,17,0,1885,41,-0.956989247311828,-0.8506786944918014,0.1749449290420686,0.32835710876031404
7/6/2020,2020,7,6,22,1,12,0,1907,42,-0.5842293906810035,-0.659111595928118,0.0056417239767038024,-0.3620296962416554
7/7/2020,2020,7,7,39,0,22,1,1946,42,-0.8602150537634409,-0.5225150942568296,-0.07329106375098968,-0.3723181693383317
7/8/2020,2020,7,8,66,0,39,0,2012,42,-0.7634408602150538,-0.21239679039420034,-0.18412820432738503,-0.38710784941480386
7/9/2020,2020,7,9,71,1,66,0,2083,43,-0.4086021505376344,-0.10659153762409335,0.06340485825639433,-0.5739577512260086
7/10/2020,2020,7,10,86,0,71,1,2169,43,-0.6917562724014337,-0.03336838270375775,-0.047640205274159186,-0.516581105331989
7/11/2020,2020,7,11,166,0,86,0,2335,43,-0.40501792114695334,0.7463086689973601,-0.7639803321539784,-0.34692237505301177
7/12/2020,2020,7,12,85,0,166,0,2420,43,-0.6953405017921146,-0.13072633254787036,0.9639643517702485,0.22141504806376244
7/13/2020,2020,7,13,32,2,85,0,2452,45,-0.2114695340501792,-0.5391637463703727,0.6433948385704065,0.14661425752902635
7/14/2020,2020,7,14,90,2,32,2,2542,47,-0.0035842293906809264,0.022918768077863305,-0.4386080261013453,0.29446062460209765
7/15/2020,2020,7,15,56,1,90,2,2598,48,-0.4623655913978495,-0.38726124833076236,0.4349825725196133,0.5580598790665249
7/16/2020,2020,7,16,99,1,56,1,2697,49,-0.3082437275985662,0.0034272838461293365,-0.2754212222918792,0.17854382771287813
7/17/2020,2020,7,17,75,1,99,1,2772,50,-0.39426523297491034,-0.23706998549120928,0.3341343629347272,0.9085967311978667
7/18/2020,2020,7,18,85,0,75,1,2857,50,-0.6953405017921146,-0.2307192114346499,0.02956347000565096,-0.5479030668191087
7/19/2020,2020,7,19,46,1,85,0,2903,51,-0.49820788530465954,-0.5185467504997454,0.46634632028511935,0.23748568314467017
7/20/2020,2020,7,20,76,1,46,1,2979,52,-0.3906810035842293,-0.26165809743274804,-0.1443518318998514,0.15669210360294175
7/21/2020,2020,7,21,124,2,76,1,3103,54,0.11827956989247324,0.19222598172196048,-0.297538215611963,-0.6751021245645087
7/22/2020,2020,7,22,155,2,124,2,3258,56,0.2293906810035844,0.4005144513698189,-0.14450054094707954,0.049252015797979345
7/23/2020,2020,7,23,147,4,155,2,3405,60,0.8745519713261649,0.41472471337681105,0.1858142664952841,0.18629198829899063
7/24/2020,2020,7,24,175,4,147,4,3580,64,0.9749103942652331,0.5663032419041236,-0.11700942681011822,0.027183241005608746
7/25/2020,2020,7,25,168,1,175,4,3748,65,-0.06093189964157708,0.27946805761112437,0.17703121005886774,0.6064885793053382
7/26/2020,2020,7,26,132,1,168,1,3880,66,-0.1899641577060931,-0.007102891429254021,0.41979496458864135,0.9241213022098157
7/27/2020,2020,7,27,141,1,132,1,4021,67,-0.1577060931899641,0.02838432396016488,0.044329475220830125,-0.02587572817604837
7/28/2020,2020,7,28,182,4,141,1,4203,71,1.0,0.4441631876379104,-0.22049454781656647,-0.6264526409629295
7/29/2020,2020,7,29,129,2,182,4,4332,73,0.1362007168458783,-0.04808402132015588,0.5503706068452924,0.6058216657813931
7/30/2020,2020,7,30,224,0,129,2,4556,73,-0.19713261648745517,0.38024459997125737,-0.6390624425843884,-0.3788231023843887
7/31/2020,2020,7,31,175,0,224,0,4731,73,-0.37275985663082434,0.045260881229171934,0.4936733600589694,0.36993889949961534
8/1/2020,2020,8,1,155,0,175,0,4886,73,-0.8756613756613757,-0.09770796801239912,0.26909362241947843,0.4275738693814762
8/2/2020,2020,8,2,177,0,155,0,5063,73,-0.8580133128520225,0.0007951751920360906,-0.04634588282325372,-0.5442359390702933
8/3/2020,2020,8,3,209,3,177,0,5272,76,-0.4954258405871309,0.3208205651044529,-0.12038631664330116,-0.5283374488635872
8/4/2020,2020,8,4,146,2,209,3,5418,78,-0.6582693292370712,-0.10022878128668034,0.585217254448932,0.6921326722296378
8/5/2020,2020,8,5,255,2,146,2,5673,80,-0.5708311998634579,0.4294355275006696,-0.6707121428879668,0.17474112736243994
8/6/2020,2020,8,6,279,3,255,2,5952,83,-0.4392729134664619,0.5500988296375404,-0.048082990821929406,-0.9331644104430364
8/7/2020,2020,8,7,272,0,279,3,6224,83,-0.781805768902543,0.29141988273592667,0.16707544673139949,0.47678509018064374
8/8/2020,2020,8,8,294,3,272,0,6518,86,-0.4272401433691756,0.5119743563360644,-0.034075570324797744,-0.5715261050622426
8/9/2020,2020,8,9,295,3,294,3,6813,89,-0.4264379586960232,0.46361851439934365,0.1117209355287405,-0.05922162301197807
8/10/2020,2020,8,10,309,5,295,3,7122,94,-0.19059566478921297,0.576308891813353,0.0212026831376856,-0.918845855757309
8/11/2020,2020,8,11,292,4,309,5,7414,98,-0.3165386584741423,0.4040267267748576,0.23698855580092826,0.9016495146554023
8/12/2020,2020,8,12,298,2,292,4,7712,100,-0.5363372589179041,0.28282987292791417,0.07691314382097891,-0.3258430993810721
8/13/2020,2020,8,13,334,2,298,2,8046,102,-0.5074586106844172,0.3777111388736496,-0.13261600461989737,-0.0016250997413182408
8/14/2020,2020,8,14,397,1,334,2,8443,103,-0.5692268305171531,0.5031989279665807,-0.3172238046695859,-0.2493990989929811
8/15/2020,2020,8,15,439,4,397,1,8882,107,-0.19861751152073726,0.7407280725139325,-0.1663682789428636,-0.6979569849311759
8/16/2020,2020,8,16,456,2,439,4,9338,109,-0.40959208055982244,0.6275734016613783,0.004496464068736786,-0.31638305779052994
8/17/2020,2020,8,17,421,2,456,2,9759,111,-0.4376685441201571,0.4576452723598614,0.35347438864418956,0.9999999999999999
8/18/2020,2020,8,18,589,4,421,2,10348,115,-0.07828981054787498,1.0,-1.0,-0.7313044372785257
8/19/2020,2020,8,19,605,2,589,4,10953,117,-0.29006656426011257,0.8557120557088294,0.01794915605271334,-0.32236061758594786
8/20/2020,2020,8,20,628,2,605,2,11581,119,-0.2716163167776071,0.8335202677219062,-0.026110787459224294,-0.04088557551162364
