date,year,month,day,new_cases,new_deaths,prev_cases,prev_deaths,total_cases,total_deaths,sentiment_ratio1,sentiment_ratio2,sentiment_ratio3,sentiment_ratio4
7/17/2020,2020,7,17,75,1,99,1,2772,50,0.898936170212766,4.500822510822511,2.121673003802281,0.8787878787878788
7/18/2020,2020,7,18,85,0,75,1,2857,50,0.4521276595744681,4.165208260413021,0.0973302602516084,-0.4411764705882353
7/19/2020,2020,7,19,46,1,85,0,2903,51,0.7446808510638298,2.9793384801388694,2.4362076095947067,0.27058823529411763
7/20/2020,2020,7,20,76,1,46,1,2979,52,0.9042553191489362,4.372692178583417,-2.5893397940642036,0.19736842105263158
7/21/2020,2020,7,21,124,2,76,1,3103,54,1.6595744680851063,7.195951349351285,-5.110060975609756,-0.5564516129032258
7/22/2020,2020,7,22,155,2,124,2,3258,56,1.824468085106383,8.315114443567483,-2.5908039329091963,0.09999999999999998
7/23/2020,2020,7,23,147,4,155,2,3405,60,2.7819148936170213,9.059911894273128,-1.4118070953436808,0.22419354838709676
7/24/2020,2020,7,24,175,4,147,4,3580,64,2.9308510638297873,9.824371508379889,-2.320135746606335,0.08000000000000002
7/25/2020,2020,7,25,168,1,175,4,3748,65,1.3936170212765957,7.266037271160004,3.679539804216087,0.605
7/26/2020,2020,7,26,132,1,168,1,3880,66,1.202127659574468,5.716869728209934,2.9650582362728786,0.8928571428571428
7/27/2020,2020,7,27,141,1,132,1,4021,67,1.25,5.911386860771992,-0.731647634584013,0.03191489361702127
7/28/2020,2020,7,28,182,4,141,1,4203,71,2.9680851063829787,9.143247780760221,-6.436841238471673,-0.5123626373626373
7/29/2020,2020,7,29,129,2,182,4,4332,73,1.6861702127659575,5.811605889272569,6.23025356251553,0.6043956043956045
7/30/2020,2020,7,30,224,0,129,2,4556,73,1.1914893617021276,7.473222124670764,-5.5385240604995865,-0.28794642857142855
7/31/2020,2020,7,31,175,0,224,0,4731,73,0.9308510638297872,5.6594800253646165,3.6924398625429555,0.390625
8/1/2020,2020,8,1,155,0,175,0,4886,73,0.18452380952380953,4.885386819484241,1.4813039309683604,0.44285714285714284
8/2/2020,2020,8,2,177,0,155,0,5063,73,0.21071428571428572,5.4187240766344065,-1.624406457739791,-0.4378531073446328
