section-result-title,section-result-location,category
locanda a la granda,Pepe Abed Street,restaurant
lebanon,,restaurant
the backyard hazmieh,Hazmiyeh,restaurant
mosaic,Beirut,restaurant
swiss butter,,restaurant
zone,,restaurant
noy,,restaurant
tucano lebanon,,restaurant
couqley french bistro _ gemmayze,Beirut,restaurant
la nonina pizzeria,Beirut,restaurant
kampaï,Beirut,restaurant
al abdallah,,restaurant
indigo on the roof,Beirut,restaurant
truffled,district Lebanon,restaurant
lebanese,,restaurant
ترويقة البلد tirwiyat al balad,,restaurant
burgundy,,restaurant
lily's,Beirut,restaurant
outdoor,,restaurant
seray brasserie libanaise,,restaurant
massaya zaman,,restaurant
place de l'etoile,,restaurant
bartartine - dbayeh,Dbayeh Internal Road Dbayeh,restaurant
al shams,Aanjar,restaurant
tallet abou zeid,Zahlé,restaurant
o bois,,restaurant
makan,Beirut,restaurant
beit youssef,Harissa,restaurant
murray,Antelias,restaurant
lala chicken 1967,,restaurant
café libanais,,restaurant
el brimo,Beirut,restaurant
skirt,Beirut,restaurant
seray,Beirut,restaurant
sahebna,Baouchriyeh,restaurant
al zahraa shawarma,,restaurant
"nour (նուռ), fine armenian cuisine",Beirut,restaurant
chopsticks,,restaurant
بيروتي عتيق / beiruti atik,Beirut,restaurant
al saniour seaview,Sahel Aalma,restaurant
al fanar& auberge,,restaurant
brassica,,restaurant
paramount lebanese kitchen,,restaurant
barbar احلى شاورما ومناقيش,Beirut,restaurant
al-karam,,restaurant
l'avo,Beirut,restaurant
casino nmeir,Zahlé,restaurant
dunya,,restaurant
ash by eddy diab,,restaurant
stove& terrace,,restaurant
"bartartine - the backyard, hazmieh","Hazmieh, Baabda district",restaurant
appetito trattoria hamra,,restaurant
fadel,Bikfaiya,restaurant
couqley french bistro _ dbayeh,Beirut,restaurant
osaka sushi lounge,Beirut,restaurant
chopsticks,,restaurant
gavi,,restaurant
bebabel,Beirut,restaurant
-fouad khalil - مطعم فؤاد خليل,,restaurant
resto ghazar,,restaurant
le phoenicien,Beirut,restaurant
dawood basha,,restaurant
boubouffe,,restaurant
métropole,Beirut,restaurant
the beirut cellar,Beirut,restaurant
rossini osteria e caffè - phoenicia hotel,Beirut,restaurant
mum & i,Beirut,restaurant
massaya,,restaurant
punta del este,Jounieh,restaurant
little china,,restaurant
kronfol,"Naqqache,",restaurant
"bartartine - dunes, verdun",Beirut,restaurant
zaituna bay,Beirut,restaurant
hollyfood american,,restaurant
amaleen cafe &,Zahlé,restaurant
inka beirut,Beirut,restaurant
kfc,Jal El Dib,restaurant
hardee's,Beirut,restaurant
jalsat,,restaurant
kronfol - broumana villa,,restaurant
obi urban sushi,Beirut,restaurant
"chopsticks, sin el fil",Charles de Gaulle St,restaurant
mandarine,,restaurant
stone& lounge,Zouk Mkayel,restaurant
sydney's beirut,,restaurant
onno bistro,,restaurant
square cafe sodeco,,restaurant
ahwet zeitouna,"District, Lebanon",restaurant
brgr co.,Beirut,restaurant
balthus,,restaurant
citywalk hazmieh,,restaurant
lamb house,,restaurant
kfc,Hazmiyeh,restaurant
gordon's café,Beirut,restaurant
roadster diner,,restaurant
shah,,restaurant
manuccini's,Achrafieh,restaurant
saj mahal lebanon,,restaurant
the bosta - kaslik,,restaurant
l'autre bistro,Beirut,restaurant
tourist,,restaurant
abou el zouz - lebanese grill,,restaurant
appetito trattoria gemmayzeh,,restaurant
don,Tabaris,restaurant
al delb -,,restaurant
sax,,restaurant
le2metna,,restaurant
casa jose,Beirut,restaurant
captain seafood,Rmayleh,restaurant
am pm,,restaurant
margherita pizzeria,,restaurant
amassi,Jounieh,restaurant
saki saki,Jounieh,restaurant
al mamlaka,Beit Ed Dine - Barouk Rd,restaurant
salata,Beirut,restaurant
al dar,,restaurant
olivo -,,restaurant
le montagnou,Kfardebian,restaurant
al mina,Tabarja,restaurant
chalhoub,,restaurant
yakiniku japanese grill,Beirut,restaurant
jnayne,Annaya,restaurant
el soussi,,restaurant
divvy,Beirut,restaurant
tokyo lebanon,,restaurant
babylone -,,restaurant
joseph,El Saydeh,restaurant
tawlet ammiq,Tawlet,restaurant
la foule,Beirut,restaurant
redstone lebanon,,restaurant
ohannes kebab house,Baouchriyeh,restaurant
baron,Beirut,restaurant
jammal,"Old, Sea Side Rd",restaurant
- aley,,restaurant
numero six,,restaurant
tabliyet masaad sour,,restaurant
tawlet souk el tayeb,Beirut,restaurant
capitole beirut,"Down Town, Beirut",restaurant
onno downtown,,restaurant
kelly's fish lounge,Beirut,restaurant
deli.co,Beirut,restaurant
kahwet maalem artin,,restaurant
papabubble lebanon,,restaurant
bartartine - zaitunay bay,Beirut Central District,restaurant
"feluka, seafood& wine bar 'فلوكة'",Beirut,restaurant
socrat,Beirut,restaurant
stem beirut,Beirut,restaurant
snoubar bakery,,restaurant
3al sate7,Beirut,restaurant
ash beirut,,restaurant
suz' coffee bar,Beirut,restaurant
shallalat al zarqa,,restaurant
leila cafe,,restaurant
papaya -,,restaurant
abul3ezz dekweneh - شاورما ابو العز,Beirut,restaurant
people,,restaurant
joe peña's,,restaurant
foul time,,restaurant
jars & co,,restaurant
hallab 1881 قصر الحلو,Tripoli,restaurant
المختار,,restaurant
abdel wahab,,restaurant
snack hammoudi,Beirut,restaurant
sushi express -,,restaurant
hardee''s,BERUIT LEBANON,restaurant
mouawad bakery and rest,,restaurant
jawzat almir جوزات المير,,restaurant
bkerzay,,restaurant
country gate,,restaurant
el yammine,,restaurant
sushi bell,,restaurant
al kooz cafe,,restaurant
tourist,,restaurant
amare,Damour - Beit Ed Dine Rd,restaurant
al-tayeb,,restaurant
issam,,restaurant
remas,,restaurant
new garbatella -,,restaurant
chateau rouge,Road Salhieh,restaurant
famous bob burger,,restaurant
la ronge,,restaurant
al midyaf,,restaurant
burasta,,restaurant
jannat al sanawbar,"Jezzine Road, 1 KM before Jezzine Entrance",restaurant
saida rest house,,restaurant
diwan al farah,beit el dine,restaurant
talet shkeef,,restaurant
chez fouad,,restaurant
zawat,facing the castel,restaurant
pepo's,,restaurant
burger experiment,"Wastani, Old Rail Road, Next to Naddaf Bakery",restaurant
مطعم المصطبه - mastabeh,,restaurant
maisonnette,,restaurant
al khal snack,,restaurant
mardakouche jezzine,,restaurant
queen's park& cafe,Bakaata main Road,restaurant
mersin,,restaurant
asal,,restaurant
